City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,bel ombre,-4.6167,55.4167,301.65,73,33,2.62,SC,1701479474
167,nikolayevsk-on-amure,53.1406,140.73,258.99,82,100,2.32,RU,1701479356
168,kaiapoi,-43.3783,172.6401,292.43,80,75,6.17,NZ,1701479399
169,minas de marcona,-15.2119,-75.1103,288.33,80,42,5.74,PE,1701479067
170,conde,-7.2597,-34.9075,299.85,78,20,3.09,BR,1701479067
171,ust'-barguzin,53.45,108.9833,260.16,93,76,1.57,RU,1701479476
172,plaza huincul,-38.926,-69.2086,290.45,10,0,4.02,AR,1701479476
173,rongelap,11.1635,166.8941,300.94,76,100,9.01,MH,1701479092
174,vallenar,-28.5708,-70.7581,292.37,41,0,1.22,CL,1701479477
175,voi,-3.3945,38.563,295.72,92,100,1.51,KE,1701479478
176,luena,-11.7833,19.9167,290.37,97,100,1.35,AO,1701479478
177,el tocuyo,9.7873,-69.7937,293.67,78,39,2.53,VE,1701479478
178,forster,-32.1667,152.5167,296.14,85,74,3.97,AU,1701479479
179,bandar abbas,27.1865,56.2808,296.03,71,0,0.45,IR,1701479479
180,vorkuta,67.5,64.0,261.29,89,100,2.04,RU,1701479093
181,tamanrasset,22.785,5.5228,285.1,20,0,1.03,DZ,1701479480
182,saint-pierre,-21.3393,55.4781,297.97,65,100,2.57,RE,1701479481
183,leer,53.2316,7.461,273.68,94,100,1.91,DE,1701479481
184,mpulungu,-8.7623,31.1141,295.18,89,95,1.07,ZM,1701479482
185,hobyo,5.3505,48.5268,299.09,74,69,9.78,SO,1701479482
186,i-n-salah,27.1935,2.4607,291.62,13,100,2.5,DZ,1701479482
187,thunder bay,48.4001,-89.3168,267.21,88,56,1.79,CA,1701479256
188,sisimiut,66.9395,-53.6735,269.42,77,100,2.84,GL,1701479483
189,petropavlovsk-kamchatsky,53.0452,158.6483,267.48,81,0,7.6,RU,1701479070
190,kingston,17.997,-76.7936,299.93,88,63,1.33,JM,1701479484
191,chonchi,-42.6128,-73.8092,280.44,95,13,1.55,CL,1701479083
192,qui nhon,13.7667,109.2333,298.58,91,100,6.23,VN,1701479485
193,whitehorse,60.7161,-135.0538,262.58,85,75,1.34,CA,1701478979
194,cassano delle murge,40.8928,16.7678,287.94,91,100,0.89,IT,1701479485
195,ritchie,-29.038,24.6028,298.32,27,94,4.16,ZA,1701479486
196,ariquemes,-9.9133,-63.0408,296.33,96,100,0.82,BR,1701479486
197,tolanaro,-25.0319,46.9987,295.19,73,75,7.2,MG,1701479125
198,usinsk,65.9939,57.5281,265.97,91,100,2.68,RU,1701479066
199,igoumenitsa,39.5039,20.2656,291.96,81,91,5.25,GR,1701479486
200,hirara,24.8,125.2833,293.27,75,100,10.51,JP,1701479487
201,yingshang chengguanzhen,32.6295,116.2701,278.44,29,100,2.24,CN,1701479357
202,hawaiian paradise park,19.5933,-154.9731,299.19,84,75,4.12,US,1701479065
203,boysun,38.2061,67.1986,281.05,43,100,1.11,UZ,1701479488
204,port hedland,-20.3167,118.5667,302.18,61,0,6.69,AU,1701479489
205,nanning,22.8167,108.3167,286.55,65,97,1.8,CN,1701479489
206,hasaki,35.7333,140.8333,284.42,52,2,3.81,JP,1701479489
207,ust-nera,64.5667,143.2,245.01,99,100,0.94,RU,1701479037
208,seven pagodas,12.6264,80.1722,299.29,86,92,7.65,IN,1701479490
209,lompoc,34.6391,-120.4579,290.23,73,0,4.63,US,1701479490
210,chegdomyn,51.1167,133.0167,257.0,81,100,0.47,RU,1701479491
211,tangalle,6.024,80.7911,297.24,92,100,3.08,LK,1701479491
212,darwin,-12.4611,130.8418,307.07,62,20,3.6,AU,1701479355
213,zhosaly,45.4878,64.0781,276.23,42,100,3.49,KZ,1701479077
214,nemuro,43.3236,145.575,273.35,64,20,3.64,JP,1701479027
215,east london,-33.0153,27.9116,292.95,77,92,6.2,ZA,1701479037
216,uturoa,-16.7333,-151.4333,300.5,78,2,8.02,PF,1701479492
217,salinas,36.6777,-121.6555,288.21,76,0,3.09,US,1701479492
218,bamboo flat,11.7,92.7167,300.34,81,100,6.16,IN,1701479492
219,cannonvale,-20.2833,148.7,301.81,68,100,4.92,AU,1701479493
220,vorgashor,67.5833,63.95,261.24,87,100,2.03,RU,1701479035
221,mora,11.0461,14.1401,296.95,19,69,2.53,CM,1701479493
222,pemangkat,1.1667,108.9667,297.8,89,100,2.36,ID,1701479494
223,chinde,26.8418,88.0763,285.91,63,99,2.02,NP,1701479494
224,san antonio de pale,-1.4014,5.6325,299.96,80,100,4.19,GQ,1701479033
225,amga,60.8953,131.9608,247.78,93,100,2.82,RU,1701479494
226,vernon,50.2581,-119.2691,273.67,75,100,0.51,CA,1701479055
227,zhalantun,48.0,122.7167,259.19,81,12,3.24,CN,1701479360
228,ta`u,-14.2336,-169.5144,300.84,82,100,6.78,AS,1701479061
229,tyukhtet,56.5389,89.3011,269.4,90,65,3.14,RU,1701479496
230,kafin hausa,12.2375,9.908,295.21,13,47,4.18,NG,1701479497
231,zimapan,20.75,-99.35,291.71,53,100,1.15,MX,1701479497
232,tura,25.5198,90.2201,290.92,72,75,1.33,IN,1701479064
233,longboat key,27.4125,-82.659,296.56,61,0,0.0,US,1701479217
234,pizarro,4.9533,-77.366,299.13,89,100,1.7,CO,1701479498
235,san carlos del zulia,9.0,-71.9135,298.47,85,93,1.03,VE,1701479499
236,manggar,-2.8833,108.2667,301.77,75,100,2.99,ID,1701479499
237,ixtapa,20.7,-105.2,298.72,73,75,2.06,MX,1701479500
238,margate,51.3813,1.3862,275.76,84,100,0.89,GB,1701478987
239,sao gabriel da cachoeira,-0.1303,-67.0892,298.39,82,40,0.26,BR,1701479500
240,lazaro cardenas,17.9583,-102.2,299.74,72,100,2.55,MX,1701479086
241,palu,-0.8917,119.8707,303.07,73,100,0.23,ID,1701479501
242,imbituba,-28.24,-48.6703,295.45,95,66,4.73,BR,1701479502
243,itapirapua,-15.8233,-50.6133,299.95,54,41,1.56,BR,1701479503
244,turtas,58.9417,69.1325,258.55,95,96,1.31,RU,1701479504
245,mazamari,-11.3258,-74.5308,294.44,97,66,0.71,PE,1701479037
246,new norfolk,-42.7826,147.0587,290.87,55,100,1.48,AU,1701479505
247,ust-tsilma,65.441,52.1498,265.16,98,100,0.45,RU,1701479506
248,ilebo,-4.3167,20.5833,293.67,100,100,0.24,CD,1701479506
249,naze,28.3667,129.4833,289.66,58,81,5.29,JP,1701479132
250,caninde,-4.3589,-39.3117,300.09,67,0,1.83,BR,1701479506
251,minchianabad,30.163,73.5685,288.01,55,0,1.93,PK,1701479507
252,olyokminsk,60.3736,120.4264,246.68,98,98,1.5,RU,1701479507
253,sao joao da barra,-21.6403,-41.0511,296.51,93,2,3.14,BR,1701479507
254,fort mcmurray,56.7268,-111.381,264.53,82,100,1.72,CA,1701479401
255,lautoka,-17.6167,177.4667,304.07,70,20,7.2,FJ,1701479508
256,la'ie,21.6477,-157.9253,297.81,79,100,0.89,US,1701479509
257,manado,1.487,124.8455,304.58,74,40,1.03,ID,1701479509
258,bhimunipatnam,17.8833,83.4333,294.72,78,99,4.62,IN,1701479510
259,cedeira,43.6797,-8.0209,283.69,74,94,2.85,ES,1701479510
260,russkaya polyana,49.417,31.9201,273.25,96,100,2.24,UA,1701479510
261,porto novo,6.4965,2.6036,299.05,87,100,2.78,BJ,1701479006
262,alaghsas,17.0187,8.0168,293.01,13,0,3.87,NE,1701479511
263,jacksonville beach,30.2947,-81.3931,294.42,93,0,0.0,US,1701479512
264,biloela,-24.4167,150.5,306.48,43,3,6.08,AU,1701479512
265,keflavik,64.0049,-22.5624,271.39,74,0,2.57,IS,1701479018
266,la malbaie,47.6575,-70.1559,271.19,90,100,2.21,CA,1701479513
267,safranbolu,41.2508,32.6942,281.91,86,0,1.19,TR,1701479513
268,batyrevo,55.0675,47.6111,268.8,96,100,5.38,RU,1701479513
269,thompson,55.7435,-97.8558,260.24,78,100,4.12,CA,1701478935
270,freeport,40.6576,-73.5832,282.08,89,100,4.12,US,1701479089
271,bikenibeu village,1.3673,173.1241,304.13,74,75,4.12,KI,1701479026
